ListingId;MarketplaceName;InvalidField
6cba620d-6774-4109-b7dd-77c1a6e4c188;AMAZON;listing_status
444fc151-316a-4f12-84ac-0f7bfc6e70d6;EBAY;listing_price
a2b52b15-8cb0-4dff-b8a5-fc155bf5a16e;AMAZON;listing_price
a2b52b15-8cb0-4dff-b8a5-fc155bf5a16e;AMAZON;listing_status
183bce1e-1a29-434d-8442-38c80799feaf;EBAY;listing_status
f2e9d36d-ce67-4555-a2ef-f3a744d99985;EBAY;listing_status
e52a5fc4-39ef-48d4-8d3a-59c4d5f7a82e;EBAY;listing_status
f0c7049f-0740-4ed3-a1a6-d2d00f3d0c29;AMAZON;listing_status
481227a8-7099-467a-95a6-fe51deee2dce;AMAZON;listing_status
481227a8-7099-467a-95a6-fe51deee2dce;AMAZON;owner_email_address
447901dd-9517-4e39-b72f-3c5662f8a54a;EBAY;owner_email_address
980e55de-b417-40f2-bb8a-61106e70425f;EBAY;listing_price
980e55de-b417-40f2-bb8a-61106e70425f;EBAY;listing_status
02014b0f-040e-44c8-95ea-ee86b2307ab7;AMAZON;listing_status
237b034a-d295-4264-8c98-879491d57807;AMAZON;owner_email_address
c997c71e-7484-48dc-a07c-cbbdfe1ceba2;EBAY;listing_status
5b0249fa-e13c-48df-9b0c-ad38629564e6;AMAZON;listing_price
b8adacfe-073e-4970-a243-57896e7f78c1;AMAZON;owner_email_address
2252519e-5d1d-43b7-bc65-1f9519bba5d2;EBAY;listing_status
411ef616-f92f-4d26-b582-f218a6573395;AMAZON;listing_price
2ca2363e-1bdc-4ecd-b078-3c6e29290c2e;AMAZON;listing_status
08b111f4-79b5-4467-a717-6e8d15dc93d8;AMAZON;listing_status
16c7762f-3180-4c3e-a3de-991b01d3145d;AMAZON;listing_status
8d025ce8-3860-4295-9ddd-4f98492c0489;AMAZON;listing_price
9ac3eb5e-2440-47a1-b08e-0c44ed7e9408;EBAY;listing_status
48f9def1-6026-4503-94fd-8a58ba57ac08;AMAZON;listing_status
d0ead2d6-5e4d-4e6c-995c-d306c40a4704;EBAY;listing_status
d0ead2d6-5e4d-4e6c-995c-d306c40a4704;EBAY;owner_email_address
23eb7772-463c-459f-b3e2-3fc60a406061;EBAY;owner_email_address
bbcdc16e-a446-43ae-99be-c40432073c6b;AMAZON;owner_email_address
8b2c778d-207d-4a21-b91f-e154a44216ae;AMAZON;listing_price
59f609fa-fcca-473a-b3df-850004ebbcf8;AMAZON;owner_email_address
20ce5c1d-a328-45ba-88e6-3fdd9038b455;AMAZON;listing_status
79b9c656-754b-460b-9a3a-b523eba7e03f;AMAZON;listing_status
79b9c656-754b-460b-9a3a-b523eba7e03f;AMAZON;owner_email_address
99790fad-d554-465f-97c2-de6593008172;EBAY;listing_status
6a5ec368-9ebd-4011-ba45-7dfd4b0e3111;AMAZON;owner_email_address
20b5db3e-65b1-4284-86b3-013033a2833c;EBAY;listing_status
20b5db3e-65b1-4284-86b3-013033a2833c;EBAY;owner_email_address
f22a3b2a-a59e-41ad-b488-03b983faeaca;AMAZON;listing_status
f22a3b2a-a59e-41ad-b488-03b983faeaca;AMAZON;owner_email_address
ec2f84e2-1292-438c-a495-dfecdd80b444;AMAZON;listing_status
36a9fd7d-eecd-4fbb-be8c-9b398300cc15;EBAY;listing_status
5093b2e2-5b6b-4240-81eb-e68bc3ecb13b;AMAZON;owner_email_address
8df29cf1-51c0-4c8b-b5f6-05343257af0e;AMAZON;owner_email_address
4cfbf5de-e02b-4d78-9afa-becccb8b9bd0;AMAZON;owner_email_address
d2b540a6-3fb3-4e63-ac6e-acd0bc2da1f3;AMAZON;listing_status
d2b540a6-3fb3-4e63-ac6e-acd0bc2da1f3;AMAZON;owner_email_address
51cd4b87-de1c-4887-a87a-439305feea76;EBAY;listing_status
5bc2bafc-0c97-429b-829d-ef4022309f39;EBAY;owner_email_address
dd113cea-d62f-41bd-8c7b-9bf9fbb301ac;EBAY;listing_status
dd113cea-d62f-41bd-8c7b-9bf9fbb301ac;EBAY;owner_email_address
d8686344-f9f6-4a4b-be71-ac2321dde251;EBAY;owner_email_address
4fad382c-c73c-4925-b941-048c658812d0;AMAZON;listing_price
4fad382c-c73c-4925-b941-048c658812d0;AMAZON;listing_status
4fad382c-c73c-4925-b941-048c658812d0;AMAZON;owner_email_address
1f1068e8-54a9-4db2-99dc-37b1125e771f;EBAY;listing_status
41e75c0c-c03b-4b5f-888c-ca20190b6785;AMAZON;owner_email_address
39c76885-4716-4c55-9192-ad320ea59676;EBAY;listing_status
2aaa27fa-7e10-4564-ad91-b047cf43a6f6;AMAZON;listing_status
2aaa27fa-7e10-4564-ad91-b047cf43a6f6;AMAZON;owner_email_address
d5203c52-8a0e-4969-87ec-fe871e2f53a0;EBAY;listing_status
84db0ece-3370-4504-b4a2-621e348aef61;AMAZON;owner_email_address
63d5e3bb-2d75-4451-af4d-b1a3c93d4993;EBAY;listing_status
d7bdec8b-ecb5-466f-a8ba-0e0d27b57e84;AMAZON;listing_price
d7bdec8b-ecb5-466f-a8ba-0e0d27b57e84;AMAZON;owner_email_address
86e2f843-1a8f-4347-9809-e71d0e9fabe7;AMAZON;listing_status
4bb120ca-ee87-4415-a3ed-169f35ed58d7;EBAY;owner_email_address
e2826efc-ac89-4e77-9727-287be7a205f5;AMAZON;listing_status
fb1be61c-3a9c-421a-a1f3-49f64a176d17;EBAY;listing_price
fb1be61c-3a9c-421a-a1f3-49f64a176d17;EBAY;owner_email_address
8f2a0050-8f69-45d6-aae7-14eba2f88ad7;EBAY;listing_price
1bd0787e-c311-44be-a3e1-144720b5c97b;AMAZON;listing_status
77417a9e-389e-42f9-99cd-6ceb977c4bba;EBAY;owner_email_address
148bed0a-8c74-4bba-925a-f9e0c0a734e8;AMAZON;listing_status
dd3322be-ac75-49bb-89a5-1281e76fb258;AMAZON;owner_email_address
10241a7c-d234-486a-83f9-c0b9fca47906;EBAY;owner_email_address
8a15338f-1fc3-4958-b59b-84234343ab6c;AMAZON;owner_email_address
9795910a-2dde-4e4c-b6e0-bffebc75b338;EBAY;owner_email_address
67abb9de-e00f-4f6d-9a1f-b2aed8f0e181;EBAY;listing_price
2458b39e-e3d0-4a35-8613-c3401a5b0ad8;AMAZON;listing_status
